beneficiary_id,employed,employment_type,employer_name,job_role,salary_monthly,employment_date,job_duration_months
7029,True,Self,Flipkart,Associate,11819.2,2023-01-10,23
2598,True,Wage,Local Shop,Driver,22094.78,2023-04-20,7
1969,True,Wage,TCS,Driver,21480.4,2023-05-27,12
3196,True,Wage,TCS,Associate,19299.01,2023-02-23,22
3457,True,Wage,Flipkart,Analyst,22858.29,2023-04-19,11
9953,True,Self,Flipkart,Associate,21839.8,2023-02-28,11
7899,True,Wage,TCS,Analyst,17097.54,2023-02-20,10
6619,True,Self,Amazon,Associate,20421.65,2023-05-01,7
118,True,Self,Flipkart,Analyst,21848.35,2023-05-16,10
2355,True,Wage,Infosys,Driver,17052.06,2023-02-23,24
184,True,Wage,Amazon,Analyst,10901.63,2023-05-19,6
5052,True,Self,Flipkart,Associate,11769.81,2023-04-01,16
1899,True,Self,Amazon,Associate,18707.56,2023-03-25,24
5293,True,Self,Flipkart,Driver,17024.77,2023-02-01,14
5506,True,Wage,Amazon,Driver,22148.98,2023-04-02,15
8589,True,Self,Flipkart,Operator,21375.11,2023-03-14,9
4075,True,Wage,Infosys,Operator,21189.24,2023-03-27,11
854,True,Wage,TCS,Analyst,10846.11,2023-02-13,20
1837,True,Self,Flipkart,Driver,15858.86,2023-05-03,8
9846,True,Self,Amazon,Analyst,11090.44,2023-03-11,8
1583,True,Wage,Flipkart,Operator,13234.0,2023-04-14,23
6768,True,Wage,Amazon,Driver,24959.65,2023-04-08,13
4859,True,Wage,TCS,Analyst,20425.24,2023-01-17,17
7165,True,Self,Local Shop,Driver,17464.48,2023-01-15,11
3686,True,Self,Local Shop,Associate,12388.34,2023-03-05,22
2048,True,Wage,TCS,Driver,17970.51,2023-05-26,20
3019,True,Self,Flipkart,Analyst,17140.46,2023-03-16,18
1050,True,Wage,Infosys,Operator,14992.43,2023-03-28,6
2454,True,Wage,Local Shop,Associate,21922.48,2023-02-18,18
8747,True,Wage,Infosys,Driver,10620.22,2023-01-20,21
4074,True,Self,TCS,Associate,11856.69,2023-02-15,22
3651,True,Wage,Local Shop,Operator,12414.82,2023-02-09,8
1323,True,Wage,Infosys,Operator,16514.83,2023-02-08,16
20,True,Wage,Infosys,Analyst,12207.96,2023-04-24,13
810,True,Wage,TCS,Associate,13236.95,2023-01-31,11
6476,True,Wage,TCS,Operator,11435.5,2023-03-15,18
9636,True,Self,Local Shop,Associate,22236.67,2023-04-18,6
2428,True,Wage,TCS,Operator,18788.07,2023-04-14,8
9608,True,Self,TCS,Operator,11940.55,2023-05-13,23
5149,True,Self,Flipkart,Analyst,23461.15,2023-01-25,11
1905,True,Wage,Local Shop,Analyst,15712.52,2023-04-24,9
2299,True,Wage,Amazon,Analyst,18072.09,2023-04-28,24
4420,True,Wage,Flipkart,Driver,12949.08,2023-03-31,7
213,True,Self,Local Shop,Operator,14134.94,2023-02-17,12
9715,True,Self,Amazon,Associate,13022.55,2023-04-03,18
2916,True,Self,Amazon,Operator,23564.65,2023-05-05,8
1114,True,Self,Infosys,Operator,19004.92,2023-05-05,13
8561,True,Wage,Local Shop,Associate,14786.85,2023-03-11,10
695,True,Self,Amazon,Operator,19043.08,2023-03-08,15
1017,True,Self,Infosys,Operator,20958.76,2023-01-08,16
470,True,Wage,Infosys,Associate,10433.65,2023-03-27,17
9551,True,Wage,Local Shop,Driver,14658.53,2023-03-27,17
1096,True,Self,Flipkart,Driver,12996.4,2023-03-15,11
4014,True,Wage,Amazon,Operator,14104.15,2023-05-19,11
2121,True,Wage,Local Shop,Analyst,11025.11,2023-04-20,6
6108,True,Self,Flipkart,Operator,22289.82,2023-01-23,17
3131,True,Wage,Local Shop,Driver,13369.35,2023-03-28,15
1208,True,Wage,Amazon,Operator,14908.39,2023-05-09,10
1695,True,Wage,Flipkart,Analyst,24406.78,2023-02-08,7
2446,True,Self,Flipkart,Associate,13698.65,2023-03-11,10
9641,True,Wage,Flipkart,Operator,15202.67,2023-01-09,13
801,True,Wage,TCS,Analyst,19279.64,2023-01-14,13
4192,True,Self,TCS,Analyst,17350.93,2023-01-10,16
7588,True,Self,Amazon,Driver,21222.06,2023-01-20,19
2776,True,Self,TCS,Associate,10725.86,2023-04-01,19
7613,True,Wage,Local Shop,Operator,14171.38,2023-04-28,12
212,True,Self,Infosys,Driver,20072.8,2023-03-17,11
217,True,Wage,Amazon,Driver,23073.75,2023-04-02,6
3906,True,Wage,Flipkart,Associate,14529.55,2023-02-24,19
1694,True,Self,Flipkart,Analyst,15073.44,2023-05-07,22
8309,True,Self,Infosys,Driver,22589.0,2023-04-20,20
5860,True,Self,Flipkart,Analyst,10304.39,2023-01-20,19
1202,True,Wage,Local Shop,Driver,23600.35,2023-02-11,16
3146,True,Self,Infosys,Driver,23055.45,2023-03-31,6
2808,True,Wage,Local Shop,Operator,20570.7,2023-04-09,12
5958,True,Wage,Infosys,Associate,13818.7,2023-04-08,11
428,True,Self,Local Shop,Driver,16714.56,2023-04-11,22
5946,True,Self,Local Shop,Operator,12043.0,2023-01-22,11
3961,True,Wage,Amazon,Associate,12185.23,2023-01-01,16
9985,True,Wage,Local Shop,Driver,20209.86,2023-03-03,10
3608,True,Self,Flipkart,Analyst,19086.15,2023-02-02,23
4226,True,Wage,Amazon,Associate,23712.62,2023-03-11,18
6609,True,Self,Flipkart,Driver,21210.57,2023-05-10,21
5509,True,Wage,Infosys,Driver,11831.66,2023-05-27,17
8398,True,Wage,Local Shop,Operator,15361.25,2023-04-10,17
5250,True,Self,Flipkart,Driver,13579.93,2023-04-12,11
5972,True,Wage,Infosys,Driver,11610.51,2023-02-14,13
5936,True,Self,Amazon,Analyst,12039.51,2023-01-13,23
387,True,Wage,Flipkart,Operator,19211.66,2023-03-28,6
2938,True,Self,TCS,Associate,17608.92,2023-05-04,13
4626,True,Self,Amazon,Driver,20570.75,2023-03-17,9
9990,True,Self,Local Shop,Driver,18851.26,2023-05-09,8
7134,True,Wage,Amazon,Analyst,10579.0,2023-03-27,13
545,True,Self,Local Shop,Driver,11895.25,2023-04-25,15
5045,True,Wage,Infosys,Operator,16665.22,2023-05-10,6
1675,True,Self,TCS,Driver,10530.73,2023-03-07,9
1665,True,Self,Amazon,Operator,14751.54,2023-04-30,19
547,True,Wage,Flipkart,Associate,19805.61,2023-05-09,17
4016,True,Wage,Amazon,Associate,18580.99,2023-03-15,18
7246,True,Self,Amazon,Analyst,10084.0,2023-02-06,8
4138,True,Self,Flipkart,Analyst,19377.14,2023-05-01,6
677,True,Wage,Infosys,Analyst,15786.75,2023-04-05,10
9212,True,Self,Amazon,Operator,13196.68,2023-01-21,21
7013,True,Self,Flipkart,Operator,17390.43,2023-01-23,14
808,True,Wage,Flipkart,Analyst,16903.25,2023-05-10,8
796,True,Self,Infosys,Operator,10885.97,2023-04-12,15
4847,True,Self,Amazon,Associate,10702.52,2023-05-21,9
5342,True,Wage,Local Shop,Analyst,13897.39,2023-04-25,17
2019,True,Self,Flipkart,Analyst,22213.19,2023-04-30,23
2266,True,Wage,TCS,Operator,21580.35,2023-05-28,6
6337,True,Wage,Infosys,Driver,10145.65,2023-03-30,11
6919,True,Wage,Local Shop,Analyst,19510.09,2023-02-23,10
4385,True,Wage,Flipkart,Operator,19589.88,2023-05-04,20
9749,True,Self,Amazon,Driver,11075.98,2023-02-04,17
7872,True,Self,Flipkart,Driver,15799.85,2023-04-01,23
9097,True,Wage,Flipkart,Operator,14650.95,2023-05-22,19
4461,True,Wage,Amazon,Operator,17874.88,2023-02-18,23
4980,True,Wage,Local Shop,Operator,24477.08,2023-05-27,10
3631,True,Self,Amazon,Associate,19119.34,2023-04-16,23
7907,True,Self,Infosys,Driver,13589.96,2023-01-20,11
6290,True,Wage,Infosys,Analyst,16093.22,2023-01-15,21
1903,True,Self,TCS,Operator,18902.12,2023-04-11,12
578,True,Wage,Local Shop,Associate,16687.87,2023-02-22,24
9517,True,Wage,Flipkart,Driver,13374.37,2023-02-15,15
2439,True,Wage,Infosys,Operator,21307.21,2023-05-14,12
5956,True,Wage,Infosys,Driver,20008.04,2023-05-30,22
9297,True,Wage,Infosys,Associate,14033.72,2023-01-09,22
4557,True,Wage,TCS,Analyst,17295.87,2023-03-07,23
4684,True,Self,Amazon,Operator,18300.17,2023-02-13,24
6101,True,Wage,Local Shop,Operator,11807.57,2023-02-19,14
2569,True,Wage,TCS,Analyst,14112.93,2023-02-24,14
8731,True,Wage,Infosys,Driver,17990.7,2023-02-21,19
7264,True,Self,Flipkart,Associate,12929.32,2023-05-27,6
9617,True,Self,Infosys,Operator,10849.48,2023-01-10,17
1778,True,Self,Infosys,Analyst,11261.83,2023-04-15,22
4407,True,Self,TCS,Operator,19868.8,2023-01-20,14
8564,True,Self,Amazon,Driver,21562.29,2023-05-08,7
8479,True,Self,TCS,Operator,13652.62,2023-01-08,6
1185,True,Wage,Local Shop,Analyst,23405.38,2023-04-01,10
3412,True,Wage,Amazon,Associate,21497.87,2023-05-06,24
4882,True,Wage,Amazon,Associate,15182.21,2023-02-25,24
1539,True,Wage,Flipkart,Driver,24855.04,2023-04-28,8
6121,True,Self,Infosys,Analyst,13828.68,2023-02-04,13
7978,True,Wage,Infosys,Analyst,22422.1,2023-02-13,20
9717,True,Wage,Local Shop,Associate,10765.41,2023-02-24,12
1656,True,Wage,Flipkart,Analyst,15154.12,2023-04-13,13
2292,True,Wage,Infosys,Driver,17926.98,2023-03-23,7
9676,True,Wage,Amazon,Associate,11065.64,2023-03-27,24
1314,True,Self,Local Shop,Associate,16496.95,2023-03-22,11
2871,True,Wage,Amazon,Operator,20457.09,2023-02-23,14
6933,True,Wage,Infosys,Associate,13246.04,2023-05-07,7
9115,True,Wage,Infosys,Analyst,11331.93,2023-01-03,21
4395,True,Self,Local Shop,Operator,15259.08,2023-04-05,21
8024,True,Self,Flipkart,Analyst,17890.15,2023-03-03,11
1802,True,Wage,TCS,Operator,12867.16,2023-03-05,20
6348,True,Wage,Amazon,Associate,12635.25,2023-04-14,19
8050,True,Wage,Local Shop,Associate,17243.86,2023-02-13,18
1700,True,Wage,Flipkart,Associate,19575.59,2023-05-09,9
1207,True,Self,TCS,Analyst,19993.62,2023-03-13,14
625,True,Self,Infosys,Driver,16609.67,2023-04-20,15
665,True,Self,Amazon,Driver,11598.36,2023-05-07,9
7396,True,Wage,TCS,Associate,15890.28,2023-04-06,19
9195,True,Self,Infosys,Analyst,22124.16,2023-03-06,14
5824,True,Wage,Amazon,Driver,21786.42,2023-01-03,9
1257,True,Wage,Infosys,Operator,24159.5,2023-05-09,24
9440,True,Wage,Flipkart,Associate,16699.73,2023-03-15,10
2919,True,Self,TCS,Operator,23774.59,2023-01-26,20
1699,True,Self,Flipkart,Analyst,14795.95,2023-04-18,17
8803,True,Wage,TCS,Analyst,22874.46,2023-01-14,10
962,True,Self,Flipkart,Driver,10112.91,2023-05-15,11
4404,True,Wage,Infosys,Driver,13757.52,2023-01-02,23
3912,True,Self,Local Shop,Analyst,24025.78,2023-03-04,15
9507,True,Wage,Amazon,Operator,13835.61,2023-04-25,14
9689,True,Self,TCS,Driver,16529.82,2023-04-26,9
7141,True,Wage,Infosys,Associate,17882.97,2023-05-20,14
9549,True,Wage,TCS,Operator,11136.74,2023-05-12,13
2575,True,Self,Infosys,Analyst,11338.17,2023-01-12,17
8021,True,Wage,Amazon,Operator,12118.63,2023-05-24,6
1950,True,Self,TCS,Operator,19917.28,2023-05-05,19
7306,True,Self,Flipkart,Driver,18122.66,2023-01-19,11
7139,True,Self,Local Shop,Associate,21230.65,2023-05-10,12
9480,True,Self,TCS,Associate,19226.42,2023-02-21,11
3229,True,Self,Flipkart,Analyst,15463.09,2023-01-08,10
4210,True,Wage,Amazon,Associate,20081.79,2023-03-14,11
3557,True,Self,Infosys,Associate,10212.68,2023-01-16,9
1840,True,Self,Flipkart,Driver,19768.52,2023-05-10,6
7837,True,Self,Infosys,Associate,10517.41,2023-01-14,18
6035,True,Wage,Flipkart,Driver,23133.46,2023-02-10,21
2335,True,Wage,Flipkart,Operator,13598.05,2023-03-12,13
3681,True,Self,Infosys,Associate,24696.55,2023-05-30,15
523,True,Wage,Flipkart,Associate,12366.93,2023-05-28,21
3294,True,Self,TCS,Associate,22298.36,2023-02-03,7
6079,True,Self,Flipkart,Analyst,18023.54,2023-02-28,12
2516,True,Wage,TCS,Analyst,21915.91,2023-05-26,14
6824,True,Self,Local Shop,Associate,12957.15,2023-01-10,9
132,True,Wage,Flipkart,Driver,10797.73,2023-05-16,19
3046,True,Wage,Infosys,Operator,13054.26,2023-04-28,6
4485,True,Wage,Local Shop,Associate,16447.21,2023-02-06,13
8252,True,Self,Amazon,Driver,16499.89,2023-04-11,10
7058,True,Wage,Amazon,Operator,13996.98,2023-01-03,23
6253,True,Wage,Infosys,Associate,17626.88,2023-03-26,11
6660,True,Self,TCS,Analyst,22761.32,2023-05-16,15
3908,True,Self,Amazon,Associate,21146.34,2023-02-11,20
5683,True,Wage,Infosys,Operator,22073.27,2023-03-06,8
8134,True,Self,TCS,Operator,12161.52,2023-02-09,16
3205,True,Self,Local Shop,Driver,14585.06,2023-01-21,14
5104,True,Wage,Local Shop,Operator,17441.96,2023-05-15,20
6864,True,Wage,Flipkart,Associate,14697.22,2023-04-23,13
2339,True,Wage,Amazon,Analyst,18224.95,2023-03-10,13
3831,True,Wage,TCS,Analyst,20215.61,2023-05-09,8
3011,True,Self,Infosys,Driver,15605.0,2023-02-21,18
1416,True,Self,Amazon,Operator,15527.76,2023-01-02,21
6491,True,Self,Local Shop,Driver,15944.45,2023-02-13,10
8658,True,Self,Amazon,Analyst,12316.21,2023-02-06,11
2775,True,Wage,Infosys,Operator,10834.62,2023-05-02,20
4722,True,Wage,Local Shop,Associate,11972.06,2023-05-07,10
1601,True,Self,Infosys,Analyst,22439.56,2023-02-25,11
9568,True,Wage,Flipkart,Analyst,17014.08,2023-04-15,13
7224,True,Self,TCS,Analyst,16825.54,2023-05-24,11
5396,True,Self,Flipkart,Operator,17109.41,2023-04-14,21
4085,True,Wage,Local Shop,Driver,15162.11,2023-05-25,22
3485,True,Self,Amazon,Operator,10053.9,2023-05-08,21
2243,True,Self,TCS,Operator,12255.74,2023-02-01,20
9143,True,Wage,TCS,Operator,17453.8,2023-01-31,23
4574,True,Wage,TCS,Associate,15098.43,2023-02-20,23
538,True,Wage,TCS,Operator,12375.7,2023-05-11,15
9594,True,Wage,Local Shop,Analyst,17472.67,2023-05-15,8
3626,True,Wage,Amazon,Operator,13331.54,2023-01-06,20
4216,True,Self,Local Shop,Driver,19993.6,2023-01-29,20
2352,True,Wage,Infosys,Operator,11518.94,2023-04-02,23
3988,True,Wage,Amazon,Associate,18108.85,2023-04-29,13
5957,True,Wage,TCS,Associate,14038.86,2023-03-14,19
482,True,Wage,Local Shop,Associate,24114.1,2023-04-21,14
3442,True,Wage,Infosys,Operator,18497.15,2023-01-19,22
3764,True,Self,TCS,Operator,10557.74,2023-01-07,15
3087,True,Self,TCS,Driver,11838.56,2023-03-25,15
6916,True,Self,TCS,Driver,15588.35,2023-05-09,15
5337,True,Self,Flipkart,Driver,21547.14,2023-03-29,16
6678,True,Self,Amazon,Driver,12794.03,2023-03-19,18
4510,True,Wage,Infosys,Operator,22198.15,2023-02-01,8
1472,True,Self,Infosys,Analyst,19547.61,2023-05-19,13
8857,True,Wage,Infosys,Analyst,10860.7,2023-03-04,11
2038,True,Wage,Infosys,Driver,20117.55,2023-01-21,19
6295,True,Self,Flipkart,Associate,17004.32,2023-03-15,18
2522,True,Self,TCS,Driver,19205.11,2023-02-05,6
3393,True,Self,Flipkart,Associate,24817.17,2023-03-10,23
83,True,Self,TCS,Operator,18034.15,2023-03-22,20
2708,True,Self,Local Shop,Analyst,14894.11,2023-04-27,9
7404,True,Wage,Flipkart,Driver,15608.48,2023-01-11,23
670,True,Self,Infosys,Driver,12969.97,2023-03-11,24
8162,True,Self,Infosys,Operator,22301.79,2023-04-05,16
8373,True,Self,Local Shop,Associate,17251.37,2023-01-16,24
6359,True,Wage,Local Shop,Associate,17232.19,2023-05-17,14
8708,True,Self,Flipkart,Analyst,24473.07,2023-03-30,18
1332,True,Self,TCS,Associate,22025.56,2023-05-29,15
708,True,Wage,Flipkart,Associate,13025.74,2023-03-28,24
170,True,Wage,Local Shop,Analyst,14438.91,2023-01-22,8
9173,True,Wage,Infosys,Analyst,11717.48,2023-02-03,14
7612,True,Self,TCS,Associate,15671.19,2023-03-16,22
2623,True,Wage,TCS,Associate,19114.17,2023-02-05,17
2946,True,Wage,Flipkart,Associate,12112.67,2023-03-13,8
4215,True,Wage,Local Shop,Associate,16318.26,2023-02-05,19
2187,True,Self,Local Shop,Driver,23037.98,2023-05-07,23
9479,True,Wage,Infosys,Analyst,23675.76,2023-02-25,17
9424,True,Self,Flipkart,Associate,24163.86,2023-02-01,20
9545,True,Wage,Infosys,Operator,24100.39,2023-01-24,24
779,True,Wage,Amazon,Driver,17591.5,2023-04-30,23
6216,True,Wage,Infosys,Driver,16544.83,2023-05-02,19
3295,True,Wage,Local Shop,Operator,13595.14,2023-04-12,7
9364,True,Wage,Local Shop,Associate,17247.18,2023-05-25,10
6875,True,Self,Flipkart,Analyst,16694.26,2023-03-02,10
8015,True,Self,TCS,Driver,17865.22,2023-05-13,10
7414,True,Wage,Amazon,Analyst,10819.67,2023-04-30,15
3670,True,Wage,TCS,Associate,18510.42,2023-05-01,7
2908,True,Self,Amazon,Associate,23216.33,2023-01-24,17
3655,True,Wage,TCS,Analyst,12743.74,2023-03-22,14
2994,True,Self,Local Shop,Operator,15039.33,2023-02-08,8
9940,True,Wage,Amazon,Driver,21902.92,2023-05-31,9
1924,True,Self,Infosys,Associate,12627.88,2023-05-17,19
2025,True,Self,Flipkart,Associate,21582.89,2023-01-28,19
2745,True,Wage,Amazon,Associate,21788.23,2023-04-10,23
6798,True,Self,TCS,Driver,18728.45,2023-03-25,12
8260,True,Wage,Infosys,Operator,10376.38,2023-05-21,19
3489,True,Self,Amazon,Driver,17014.16,2023-02-23,13
3942,True,Self,Local Shop,Operator,22200.41,2023-04-04,9
1517,True,Self,Amazon,Associate,24585.96,2023-05-25,19
7273,True,Self,Amazon,Associate,21706.3,2023-01-31,16
4621,True,Self,Local Shop,Associate,24048.99,2023-03-06,18
9947,True,Self,Amazon,Operator,21427.41,2023-04-27,17
722,True,Wage,Local Shop,Associate,22540.96,2023-05-04,22
1420,True,Wage,Amazon,Associate,18836.09,2023-05-08,16
7993,True,Wage,Infosys,Associate,13752.81,2023-03-29,23
1195,True,Self,Infosys,Driver,11356.21,2023-03-20,23
9321,True,Self,Flipkart,Operator,21065.26,2023-01-09,18
1143,True,Wage,TCS,Operator,19005.11,2023-05-10,15
728,True,Wage,Flipkart,Driver,21716.22,2023-03-16,21
6670,True,Wage,Amazon,Operator,24341.22,2023-05-14,22
5279,True,Wage,Amazon,Associate,11885.93,2023-01-23,22
1054,True,Wage,Local Shop,Associate,22899.24,2023-04-23,20
7697,True,Self,Amazon,Analyst,11589.98,2023-01-09,8
4956,True,Self,TCS,Associate,24972.06,2023-04-27,18
5579,True,Wage,TCS,Driver,22896.8,2023-04-08,6
9068,True,Wage,TCS,Associate,11136.02,2023-01-24,14
660,True,Wage,TCS,Driver,10112.19,2023-02-27,22
7710,True,Wage,Amazon,Driver,16152.94,2023-04-24,9
4914,True,Self,Infosys,Associate,13208.01,2023-03-08,15
1382,True,Wage,TCS,Operator,23990.94,2023-04-11,19
6937,True,Wage,Flipkart,Analyst,18847.76,2023-01-17,11
4646,True,Wage,Local Shop,Operator,17041.24,2023-02-04,21
2874,True,Wage,TCS,Operator,21803.53,2023-04-22,17
7356,True,Self,Infosys,Associate,14895.88,2023-05-23,12
3717,True,Self,TCS,Operator,23718.7,2023-01-12,19
394,True,Self,Local Shop,Operator,13777.45,2023-04-06,6
5605,True,Self,TCS,Associate,20525.8,2023-03-05,12
5639,True,Self,Amazon,Driver,11119.63,2023-02-05,19
9573,True,Wage,Local Shop,Analyst,14621.4,2023-01-26,19
9668,True,Wage,Infosys,Associate,12909.55,2023-04-07,23
1887,True,Self,Infosys,Analyst,13775.77,2023-04-25,8
4701,True,Self,Flipkart,Analyst,17905.39,2023-04-05,20
2069,True,Wage,TCS,Analyst,13972.99,2023-03-09,23
6734,True,Wage,Infosys,Analyst,16076.1,2023-03-25,20
924,True,Wage,Amazon,Driver,17142.23,2023-05-26,6
2397,True,Wage,Amazon,Associate,13165.01,2023-05-21,23
1697,True,Wage,Infosys,Analyst,15468.88,2023-05-19,9
9061,True,Wage,Infosys,Associate,22943.05,2023-05-28,23
1546,True,Wage,Infosys,Driver,21777.43,2023-04-02,15
2932,True,Wage,Amazon,Operator,21424.95,2023-03-18,14
5965,True,Self,Amazon,Analyst,23218.42,2023-04-14,19
7622,True,Wage,TCS,Driver,14975.39,2023-03-26,21
8425,True,Wage,TCS,Operator,10792.28,2023-04-24,17
5819,True,Wage,Infosys,Analyst,11106.11,2023-04-24,15
9013,True,Wage,TCS,Analyst,10601.56,2023-02-05,7
93,True,Wage,Flipkart,Associate,22682.01,2023-03-31,11
590,True,Wage,Amazon,Analyst,24998.05,2023-02-07,15
1227,True,Self,Flipkart,Analyst,12509.46,2023-04-07,13
6909,True,Self,Local Shop,Operator,10368.89,2023-05-22,24
7416,True,Wage,TCS,Analyst,10628.04,2023-02-20,14
9189,True,Self,Infosys,Associate,16945.4,2023-05-28,17
