beneficiary_id,feedback_text,rating,feedback_date,sentiment_score
231,Very helpful,2,2023-06-11T09:00:00,0.34
232,Too fast,4,2023-06-16T15:00:00,0.82
233,Very helpful,2,2023-06-03T16:00:00,0.8
234,Could be better,4,2023-06-27T15:00:00,0.78
235,Excellent content,2,2023-06-22T09:00:00,0.55
236,Too fast,4,2023-06-25T13:00:00,0.86
237,Too fast,4,2023-06-05T10:00:00,0.94
238,Excellent content,4,2023-06-17T14:00:00,0.82
239,Could be better,5,2023-06-05T10:00:00,0.4
240,Very helpful,4,2023-06-17T12:00:00,0.42
241,Excellent content,3,2023-06-18T15:00:00,0.46
242,Could be better,4,2023-06-28T12:00:00,0.43
243,Could be better,4,2023-06-10T13:00:00,0.9
244,Could be better,5,2023-06-27T15:00:00,0.9
245,Very helpful,4,2023-06-10T17:00:00,0.47
246,Very helpful,4,2023-06-03T09:00:00,0.69
247,Too fast,4,2023-06-16T12:00:00,0.69
248,Too fast,4,2023-06-09T16:00:00,0.44
249,Excellent content,2,2023-06-11T10:00:00,0.45
250,Excellent content,4,2023-06-22T18:00:00,0.73
251,Too fast,3,2023-06-16T17:00:00,0.82
252,Could be better,4,2023-06-09T14:00:00,0.44
253,Too fast,2,2023-06-26T15:00:00,0.76
254,Could be better,5,2023-06-07T11:00:00,0.55
255,Could be better,5,2023-06-08T13:00:00,0.75
256,Excellent content,4,2023-06-04T16:00:00,0.37
257,Too fast,4,2023-06-21T12:00:00,0.76
258,Too fast,4,2023-06-16T10:00:00,0.43
259,Could be better,2,2023-06-15T11:00:00,0.9
260,Excellent content,4,2023-06-01T17:00:00,0.5
261,Excellent content,4,2023-06-11T14:00:00,0.77
262,Excellent content,4,2023-06-07T09:00:00,0.35
263,Excellent content,5,2023-06-10T12:00:00,0.74
264,Excellent content,3,2023-06-10T11:00:00,0.85
265,Could be better,4,2023-06-12T12:00:00,0.78
266,Very helpful,3,2023-06-24T17:00:00,0.89
267,Excellent content,4,2023-06-21T16:00:00,0.4
268,Could be better,2,2023-06-19T12:00:00,0.51
269,Excellent content,4,2023-06-17T16:00:00,0.7
270,Too fast,2,2023-06-04T18:00:00,0.66
271,Too fast,5,2023-06-14T12:00:00,0.92
272,Too fast,2,2023-06-21T17:00:00,0.58
273,Excellent content,4,2023-06-18T12:00:00,0.33
274,Excellent content,5,2023-06-16T15:00:00,0.44
275,Too fast,5,2023-06-15T13:00:00,0.67
276,Could be better,4,2023-06-02T12:00:00,0.68
277,Could be better,4,2023-06-09T16:00:00,0.79
278,Very helpful,4,2023-06-19T15:00:00,0.57
279,Excellent content,3,2023-06-06T16:00:00,0.44
280,Very helpful,2,2023-06-04T14:00:00,0.85
281,Very helpful,2,2023-06-03T09:00:00,0.44
282,Could be better,4,2023-06-25T11:00:00,0.43
283,Could be better,4,2023-06-27T10:00:00,0.64
284,Very helpful,4,2023-06-05T17:00:00,0.52
285,Could be better,4,2023-06-07T17:00:00,0.56
286,Too fast,3,2023-06-15T16:00:00,0.54
287,Very helpful,4,2023-06-07T18:00:00,0.41
288,Very helpful,3,2023-06-15T12:00:00,0.85
289,Too fast,4,2023-06-18T14:00:00,0.62
290,Excellent content,4,2023-06-01T15:00:00,0.93
291,Very helpful,3,2023-06-10T17:00:00,0.9
292,Too fast,2,2023-06-22T14:00:00,0.83
293,Excellent content,4,2023-06-24T17:00:00,0.89
294,Too fast,5,2023-06-12T18:00:00,0.56
295,Excellent content,4,2023-06-22T12:00:00,0.44
296,Excellent content,4,2023-06-01T09:00:00,0.94
297,Could be better,3,2023-06-10T12:00:00,0.67
298,Very helpful,3,2023-06-07T16:00:00,0.76
299,Excellent content,3,2023-06-04T12:00:00,0.6
300,Could be better,4,2023-06-26T13:00:00,0.85
301,Could be better,4,2023-06-23T14:00:00,0.83
302,Could be better,5,2023-06-19T12:00:00,0.58
303,Too fast,4,2023-06-11T09:00:00,0.72
304,Too fast,4,2023-06-27T16:00:00,0.61
305,Too fast,4,2023-06-15T15:00:00,0.66
306,Too fast,2,2023-06-07T16:00:00,0.42
307,Could be better,4,2023-06-26T16:00:00,0.4
308,Excellent content,4,2023-06-07T15:00:00,0.78
309,Too fast,3,2023-06-19T10:00:00,0.42
310,Very helpful,5,2023-06-22T09:00:00,0.32
311,Very helpful,4,2023-06-27T14:00:00,0.69
312,Excellent content,5,2023-06-20T09:00:00,0.8
313,Too fast,5,2023-06-23T09:00:00,0.93
314,Too fast,5,2023-06-08T10:00:00,0.7
315,Could be better,4,2023-06-05T16:00:00,0.83
316,Very helpful,3,2023-06-23T18:00:00,0.85
317,Very helpful,4,2023-06-05T18:00:00,0.68
318,Very helpful,4,2023-06-22T15:00:00,0.48
319,Very helpful,5,2023-06-15T13:00:00,0.45
320,Very helpful,5,2023-06-12T09:00:00,0.33
321,Could be better,4,2023-06-16T13:00:00,0.42
322,Could be better,5,2023-06-03T14:00:00,0.64
323,Could be better,4,2023-06-07T13:00:00,0.88
324,Too fast,5,2023-06-25T12:00:00,0.32
325,Too fast,4,2023-06-23T11:00:00,0.33
326,Too fast,4,2023-06-03T12:00:00,0.77
327,Could be better,4,2023-06-10T18:00:00,0.79
328,Excellent content,2,2023-06-11T18:00:00,0.77
329,Too fast,5,2023-06-25T14:00:00,0.88
330,Excellent content,4,2023-06-17T11:00:00,0.37
331,Could be better,4,2023-06-17T13:00:00,0.82
332,Too fast,4,2023-06-16T10:00:00,0.44
333,Could be better,3,2023-06-03T13:00:00,0.6
334,Could be better,4,2023-06-04T18:00:00,0.33
335,Excellent content,3,2023-06-21T10:00:00,0.59
336,Excellent content,2,2023-06-05T13:00:00,0.36
337,Could be better,5,2023-06-15T14:00:00,0.88
338,Excellent content,4,2023-06-25T10:00:00,0.75
339,Too fast,5,2023-06-12T17:00:00,0.84
340,Could be better,2,2023-06-24T13:00:00,0.45
341,Too fast,2,2023-06-14T14:00:00,0.62
342,Too fast,4,2023-06-02T18:00:00,0.81
343,Excellent content,2,2023-06-15T16:00:00,0.81
344,Very helpful,4,2023-06-11T14:00:00,0.43
345,Could be better,2,2023-06-01T09:00:00,0.61
346,Could be better,3,2023-06-20T14:00:00,0.84
347,Could be better,4,2023-06-20T10:00:00,0.55
348,Very helpful,4,2023-06-12T16:00:00,0.35
349,Very helpful,4,2023-06-23T15:00:00,0.53
350,Too fast,5,2023-06-17T18:00:00,0.93
351,Could be better,4,2023-06-23T12:00:00,0.33
352,Excellent content,4,2023-06-23T14:00:00,0.68
353,Too fast,3,2023-06-16T11:00:00,0.53
354,Could be better,4,2023-06-06T12:00:00,0.71
355,Too fast,5,2023-06-08T11:00:00,0.68
356,Very helpful,3,2023-06-05T16:00:00,0.66
357,Very helpful,5,2023-06-24T14:00:00,0.69
358,Very helpful,4,2023-06-16T14:00:00,0.38
359,Could be better,5,2023-06-14T14:00:00,0.65
360,Very helpful,4,2023-06-20T12:00:00,0.48
361,Excellent content,4,2023-06-22T09:00:00,0.32
362,Very helpful,4,2023-06-09T10:00:00,0.72
363,Could be better,4,2023-06-14T13:00:00,0.6
364,Excellent content,4,2023-06-23T17:00:00,0.82
365,Very helpful,3,2023-06-09T13:00:00,0.88
366,Too fast,4,2023-06-21T18:00:00,0.75
367,Excellent content,4,2023-06-27T12:00:00,0.62
368,Could be better,4,2023-06-11T09:00:00,0.87
369,Excellent content,4,2023-06-12T10:00:00,0.95
370,Too fast,4,2023-06-21T17:00:00,0.81
371,Too fast,4,2023-06-16T11:00:00,0.66
372,Excellent content,4,2023-06-16T12:00:00,0.94
373,Excellent content,3,2023-06-06T18:00:00,0.42
374,Very helpful,4,2023-06-27T16:00:00,0.71
375,Very helpful,4,2023-06-09T15:00:00,0.84
376,Too fast,5,2023-06-07T10:00:00,0.94
377,Very helpful,5,2023-06-19T09:00:00,0.3
378,Could be better,2,2023-06-10T17:00:00,0.74
379,Too fast,4,2023-06-02T16:00:00,0.89
380,Very helpful,4,2023-06-04T09:00:00,0.83
381,Excellent content,3,2023-06-22T17:00:00,0.75
382,Excellent content,5,2023-06-09T18:00:00,0.65
383,Very helpful,3,2023-06-03T18:00:00,0.43
384,Too fast,5,2023-06-12T09:00:00,0.76
385,Could be better,5,2023-06-21T11:00:00,0.63
386,Too fast,4,2023-06-07T15:00:00,0.52
387,Too fast,4,2023-06-26T10:00:00,0.48
388,Excellent content,4,2023-06-23T16:00:00,0.64
389,Excellent content,3,2023-06-01T18:00:00,0.64
390,Excellent content,4,2023-06-05T11:00:00,0.76
391,Could be better,2,2023-06-04T11:00:00,0.43
392,Very helpful,5,2023-06-21T12:00:00,0.87
393,Could be better,4,2023-06-17T17:00:00,0.84
394,Excellent content,4,2023-06-14T18:00:00,0.65
395,Excellent content,5,2023-06-23T16:00:00,0.74
396,Too fast,4,2023-06-17T10:00:00,0.67
397,Very helpful,4,2023-06-25T09:00:00,0.73
398,Very helpful,4,2023-06-28T17:00:00,0.77
399,Excellent content,4,2023-06-07T14:00:00,0.9
400,Too fast,3,2023-06-18T18:00:00,0.47
401,Very helpful,4,2023-06-24T16:00:00,0.74
402,Excellent content,4,2023-06-04T10:00:00,0.88
403,Could be better,4,2023-06-22T10:00:00,0.57
404,Very helpful,4,2023-06-09T10:00:00,0.83
405,Could be better,3,2023-06-19T15:00:00,0.89
406,Could be better,4,2023-06-21T10:00:00,0.86
407,Very helpful,5,2023-06-03T16:00:00,0.48
408,Could be better,4,2023-06-19T16:00:00,0.81
409,Too fast,3,2023-06-20T18:00:00,0.45
410,Too fast,2,2023-06-28T12:00:00,0.42
411,Could be better,5,2023-06-02T13:00:00,0.77
412,Could be better,3,2023-06-21T13:00:00,0.94
413,Too fast,5,2023-06-23T18:00:00,0.52
414,Very helpful,4,2023-06-14T10:00:00,0.86
415,Too fast,5,2023-06-14T13:00:00,0.36
416,Very helpful,4,2023-06-02T17:00:00,0.37
417,Could be better,3,2023-06-06T13:00:00,0.79
418,Very helpful,4,2023-06-26T17:00:00,0.61
419,Very helpful,3,2023-06-14T11:00:00,0.9
420,Very helpful,3,2023-06-11T10:00:00,0.78
421,Very helpful,3,2023-06-27T12:00:00,0.36
422,Very helpful,2,2023-06-28T17:00:00,0.66
423,Very helpful,3,2023-06-14T15:00:00,0.48
424,Too fast,5,2023-06-04T15:00:00,0.93
425,Excellent content,3,2023-06-17T11:00:00,0.78
426,Excellent content,4,2023-06-26T13:00:00,0.38
427,Too fast,5,2023-06-25T16:00:00,0.37
428,Too fast,3,2023-06-22T16:00:00,0.73
429,Too fast,4,2023-06-28T16:00:00,0.32
430,Too fast,3,2023-06-24T16:00:00,0.85
431,Too fast,3,2023-06-10T09:00:00,0.51
432,Very helpful,3,2023-06-23T13:00:00,0.39
433,Too fast,4,2023-06-05T11:00:00,0.37
434,Could be better,5,2023-06-01T12:00:00,0.36
435,Could be better,5,2023-06-06T10:00:00,0.77
436,Very helpful,3,2023-06-02T09:00:00,0.31
437,Excellent content,3,2023-06-03T17:00:00,0.86
438,Could be better,4,2023-06-05T09:00:00,0.31
439,Could be better,4,2023-06-04T18:00:00,0.54
440,Excellent content,5,2023-06-24T12:00:00,0.38
441,Excellent content,2,2023-06-06T17:00:00,0.91
442,Very helpful,5,2023-06-17T15:00:00,0.67
443,Too fast,4,2023-06-16T12:00:00,0.61
444,Very helpful,4,2023-06-06T12:00:00,0.54
445,Too fast,3,2023-06-18T16:00:00,0.43
446,Too fast,2,2023-06-13T16:00:00,0.49
447,Could be better,3,2023-06-12T17:00:00,0.83
448,Could be better,4,2023-06-09T15:00:00,0.62
449,Could be better,4,2023-06-23T18:00:00,0.42
450,Could be better,4,2023-06-27T10:00:00,0.67
451,Very helpful,2,2023-06-10T17:00:00,0.85
452,Too fast,4,2023-06-22T09:00:00,0.68
453,Too fast,4,2023-06-02T18:00:00,0.46
454,Very helpful,5,2023-06-18T10:00:00,0.36
455,Could be better,5,2023-06-21T16:00:00,0.48
456,Could be better,2,2023-06-08T11:00:00,0.42
457,Too fast,4,2023-06-01T09:00:00,0.88
458,Very helpful,3,2023-06-28T17:00:00,0.72
459,Very helpful,2,2023-06-22T11:00:00,0.67
460,Could be better,5,2023-06-13T09:00:00,0.5
461,Could be better,3,2023-06-05T11:00:00,0.92
462,Too fast,4,2023-06-08T17:00:00,0.45
463,Excellent content,4,2023-06-08T15:00:00,0.74
464,Could be better,3,2023-06-08T12:00:00,0.43
465,Too fast,5,2023-06-07T16:00:00,0.65
466,Could be better,4,2023-06-03T13:00:00,0.57
467,Very helpful,5,2023-06-05T15:00:00,0.92
468,Very helpful,2,2023-06-23T13:00:00,0.85
469,Excellent content,5,2023-06-03T11:00:00,0.31
470,Could be better,2,2023-06-11T11:00:00,0.95
471,Excellent content,4,2023-06-21T09:00:00,0.54
472,Very helpful,5,2023-06-01T16:00:00,0.91
473,Could be better,4,2023-06-01T14:00:00,0.81
474,Could be better,4,2023-06-21T17:00:00,0.57
475,Excellent content,4,2023-06-05T13:00:00,0.79
476,Too fast,4,2023-06-23T12:00:00,0.35
477,Too fast,4,2023-06-08T17:00:00,0.54
478,Too fast,3,2023-06-26T09:00:00,0.76
479,Excellent content,5,2023-06-07T16:00:00,0.45
480,Very helpful,2,2023-06-28T13:00:00,0.92
481,Too fast,4,2023-06-09T17:00:00,0.58
482,Too fast,5,2023-06-11T14:00:00,0.63
483,Excellent content,4,2023-06-15T13:00:00,0.31
484,Excellent content,4,2023-06-19T12:00:00,0.92
485,Very helpful,5,2023-06-03T09:00:00,0.84
486,Excellent content,2,2023-06-28T13:00:00,0.46
487,Too fast,3,2023-06-04T09:00:00,0.4
488,Could be better,5,2023-06-22T18:00:00,0.49
489,Could be better,5,2023-06-28T12:00:00,0.83
490,Very helpful,4,2023-06-19T11:00:00,0.95
491,Very helpful,5,2023-06-25T10:00:00,0.66
492,Could be better,4,2023-06-12T18:00:00,0.85
493,Very helpful,4,2023-06-11T13:00:00,0.64
494,Very helpful,4,2023-06-04T12:00:00,0.32
495,Too fast,2,2023-06-04T15:00:00,0.66
496,Could be better,4,2023-06-19T17:00:00,0.33
497,Excellent content,4,2023-06-03T12:00:00,0.76
498,Too fast,5,2023-06-04T10:00:00,0.5
499,Could be better,5,2023-06-15T16:00:00,0.49
500,Too fast,2,2023-06-23T13:00:00,0.31
501,Excellent content,5,2023-06-25T10:00:00,0.54
502,Excellent content,2,2023-06-14T10:00:00,0.69
503,Could be better,3,2023-06-14T11:00:00,0.86
504,Excellent content,4,2023-06-02T18:00:00,0.65
505,Very helpful,4,2023-06-09T10:00:00,0.53
506,Very helpful,3,2023-06-17T17:00:00,0.93
507,Very helpful,3,2023-06-27T09:00:00,0.65
508,Too fast,4,2023-06-09T16:00:00,0.76
509,Could be better,5,2023-06-14T18:00:00,0.78
510,Could be better,4,2023-06-03T10:00:00,0.35
511,Too fast,2,2023-06-25T15:00:00,0.6
512,Too fast,3,2023-06-11T13:00:00,0.32
513,Excellent content,4,2023-06-17T09:00:00,0.88
514,Too fast,2,2023-06-10T10:00:00,0.72
515,Very helpful,5,2023-06-02T13:00:00,0.82
516,Could be better,3,2023-06-21T09:00:00,0.48
517,Too fast,2,2023-06-05T11:00:00,0.94
518,Very helpful,4,2023-06-22T18:00:00,0.89
519,Excellent content,3,2023-06-27T11:00:00,0.74
520,Very helpful,4,2023-06-06T09:00:00,0.31
521,Very helpful,2,2023-06-11T17:00:00,0.86
522,Too fast,5,2023-06-21T13:00:00,0.85
523,Very helpful,4,2023-06-09T15:00:00,0.4
524,Very helpful,5,2023-06-06T11:00:00,0.94
525,Too fast,2,2023-06-04T15:00:00,0.88
526,Too fast,4,2023-06-27T16:00:00,0.91
