beneficiary_id,pre_training_score,post_training_score,skill_domain,assessment_date
240,35.6,57.1,IT,2023-03-28
241,54.4,67.6,Data Entry,2023-03-09
242,57.9,69.0,Logistics,2023-04-01
243,60.9,72.6,IT,2023-05-10
244,57.9,75.3,IT,2023-05-05
245,64.9,76.0,IT,2023-05-30
246,60.4,83.8,Logistics,2023-03-30
247,44.6,58.3,Data Entry,2023-03-21
248,58.9,75.2,Data Entry,2023-03-11
249,56.1,68.5,Data Entry,2023-05-16
250,31.9,51.4,Retail,2023-04-24
251,32.8,47.0,IT,2023-05-07
252,34.1,58.1,Data Entry,2023-05-07
253,41.9,63.1,IT,2023-05-12
254,42.0,64.0,Logistics,2023-04-29
255,43.2,59.8,Retail,2023-05-02
256,61.5,73.6,IT,2023-05-28
257,36.1,50.1,Retail,2023-04-12
258,42.8,53.3,Data Entry,2023-03-28
259,49.5,63.5,IT,2023-03-31
260,64.3,75.3,IT,2023-04-25
261,55.4,76.7,IT,2023-03-01
262,45.3,68.0,Data Entry,2023-03-12
263,46.4,69.0,Logistics,2023-05-28
264,56.6,78.1,Data Entry,2023-05-07
265,37.4,51.3,Retail,2023-05-16
266,57.7,76.6,Logistics,2023-05-05
267,58.9,80.3,Logistics,2023-05-02
268,47.5,57.9,IT,2023-05-10
269,35.8,55.3,IT,2023-05-09
270,43.9,64.7,IT,2023-05-04
271,53.7,76.8,Retail,2023-03-04
272,39.8,63.1,Retail,2023-03-25
273,43.5,54.2,Logistics,2023-03-10
274,43.6,57.3,Data Entry,2023-04-09
275,43.2,63.0,Data Entry,2023-03-26
276,53.4,67.0,Retail,2023-05-22
277,64.4,81.9,Retail,2023-04-01
278,39.6,55.1,IT,2023-05-21
279,56.4,68.9,IT,2023-03-03
280,53.1,72.8,IT,2023-03-17
281,49.5,68.9,IT,2023-04-19
282,60.8,75.2,Data Entry,2023-04-11
283,35.4,54.1,Retail,2023-05-25
284,37.3,57.2,IT,2023-03-13
285,33.0,55.9,IT,2023-03-23
286,44.7,63.0,IT,2023-04-09
287,39.9,58.4,Data Entry,2023-03-08
288,31.7,50.4,Logistics,2023-03-28
289,35.3,56.6,IT,2023-03-30
290,64.7,80.7,Logistics,2023-05-21
291,40.3,51.5,Retail,2023-03-19
292,44.9,63.5,Logistics,2023-03-17
293,52.2,64.0,Logistics,2023-03-28
294,52.1,63.5,Data Entry,2023-05-24
295,54.6,72.8,Data Entry,2023-04-16
296,39.4,53.4,IT,2023-03-10
297,48.4,65.9,Data Entry,2023-03-07
298,48.5,72.3,IT,2023-05-17
299,50.0,63.6,Logistics,2023-03-07
300,51.0,65.4,Retail,2023-03-26
301,60.3,78.3,Logistics,2023-05-23
302,43.2,67.2,IT,2023-04-11
303,45.8,63.7,Data Entry,2023-04-10
304,37.5,50.5,IT,2023-03-31
305,47.8,71.0,IT,2023-05-02
306,60.9,77.0,IT,2023-04-29
307,54.1,73.3,IT,2023-03-03
308,61.3,77.2,Data Entry,2023-04-23
309,42.5,56.8,Retail,2023-04-12
310,47.3,61.2,Data Entry,2023-05-30
311,55.1,66.9,Data Entry,2023-05-01
312,39.2,60.6,IT,2023-03-31
313,36.5,61.3,Logistics,2023-03-30
314,54.2,75.9,Data Entry,2023-03-01
315,43.0,53.6,Logistics,2023-04-03
316,56.7,79.9,Retail,2023-03-28
317,56.7,70.4,IT,2023-03-15
318,48.7,68.3,Data Entry,2023-03-04
319,50.2,67.2,Logistics,2023-03-30
320,46.9,59.4,IT,2023-04-02
321,52.0,63.7,IT,2023-04-22
322,55.5,69.0,Retail,2023-05-15
323,37.6,52.0,Logistics,2023-04-24
324,54.4,71.5,Data Entry,2023-04-19
325,33.4,44.2,Logistics,2023-03-31
326,58.4,68.6,Data Entry,2023-04-22
327,42.4,54.2,Logistics,2023-04-07
328,43.6,55.1,Data Entry,2023-03-01
329,41.0,56.3,Data Entry,2023-05-05
330,51.2,68.6,IT,2023-03-08
331,64.7,87.6,Logistics,2023-04-25
332,65.0,85.5,Logistics,2023-04-09
333,35.8,50.0,Retail,2023-05-13
334,60.2,72.7,Data Entry,2023-03-19
335,34.0,47.8,Logistics,2023-03-06
336,48.0,63.7,Retail,2023-03-16
337,52.9,73.4,IT,2023-04-14
338,55.4,80.1,Retail,2023-04-11
339,62.7,72.8,Logistics,2023-03-29
340,39.4,60.0,Retail,2023-05-02
341,62.7,86.2,Logistics,2023-05-30
342,36.3,57.1,Logistics,2023-03-24
343,61.3,79.2,IT,2023-05-05
344,40.7,62.6,Logistics,2023-05-15
345,63.7,75.7,Data Entry,2023-05-02
346,47.2,66.5,Data Entry,2023-05-08
347,61.2,78.1,IT,2023-05-15
348,56.9,67.1,Retail,2023-04-20
349,55.2,66.0,Data Entry,2023-04-12
350,37.6,60.6,IT,2023-04-14
351,63.5,82.4,IT,2023-03-02
352,49.8,70.4,Data Entry,2023-04-14
353,54.7,70.1,Logistics,2023-03-20
354,35.3,52.9,Data Entry,2023-05-19
355,59.9,77.7,Retail,2023-03-26
356,32.8,57.0,Retail,2023-05-20
357,31.6,55.5,Data Entry,2023-03-15
358,45.4,60.6,Retail,2023-04-10
359,54.9,69.7,Data Entry,2023-04-03
360,38.9,52.0,Data Entry,2023-05-05
361,61.3,85.5,Data Entry,2023-03-07
362,44.8,55.0,Retail,2023-03-21
363,30.9,44.8,Data Entry,2023-03-06
364,56.8,69.3,IT,2023-03-01
365,62.5,78.2,Retail,2023-03-22
366,42.2,61.6,Logistics,2023-04-02
367,44.7,55.7,IT,2023-05-24
368,61.7,79.3,Data Entry,2023-04-12
369,54.7,77.4,Logistics,2023-04-25
370,45.6,60.2,Data Entry,2023-05-10
371,61.0,74.0,Logistics,2023-04-16
372,35.0,49.2,IT,2023-04-21
373,33.5,55.7,Data Entry,2023-05-05
374,37.6,57.2,IT,2023-04-15
375,63.0,78.7,Retail,2023-05-19
376,58.9,80.0,Logistics,2023-05-26
377,34.2,46.2,Retail,2023-05-22
378,32.1,46.9,Data Entry,2023-03-02
379,50.1,71.2,IT,2023-05-22
380,42.1,65.1,Logistics,2023-05-25
381,48.9,73.2,IT,2023-03-06
382,54.4,65.2,IT,2023-05-08
383,49.4,70.6,Retail,2023-05-25
384,50.8,72.3,Retail,2023-05-17
385,47.8,61.4,Data Entry,2023-05-20
386,45.5,60.9,Data Entry,2023-04-02
387,48.4,64.1,Retail,2023-04-16
388,35.1,48.5,Retail,2023-05-08
389,63.6,75.8,Logistics,2023-05-23
390,50.6,70.8,Logistics,2023-03-19
391,49.6,63.6,IT,2023-04-27
392,59.8,83.8,Retail,2023-03-06
393,63.7,84.5,Data Entry,2023-05-09
394,60.5,83.6,IT,2023-04-25
395,38.9,49.3,IT,2023-05-12
396,35.9,48.1,Logistics,2023-03-22
397,47.7,67.1,IT,2023-05-18
398,57.3,74.6,IT,2023-03-04
399,34.6,47.9,Data Entry,2023-03-09
400,36.4,53.5,Data Entry,2023-03-05
401,33.3,53.1,IT,2023-04-10
402,44.4,63.7,Data Entry,2023-04-23
403,43.9,57.3,Data Entry,2023-04-21
404,35.8,53.3,Logistics,2023-03-20
405,48.8,71.9,Logistics,2023-04-01
406,49.6,67.5,Retail,2023-05-15
407,37.0,53.4,Logistics,2023-03-03
408,47.2,63.0,IT,2023-04-12
409,57.5,73.5,Data Entry,2023-05-25
410,34.0,57.7,Logistics,2023-04-24
411,49.4,68.8,IT,2023-03-05
412,45.1,58.9,Logistics,2023-05-29
413,35.7,53.2,Data Entry,2023-03-19
414,43.3,65.5,IT,2023-03-06
415,51.5,67.3,Retail,2023-05-15
416,38.3,49.8,IT,2023-04-06
417,46.9,68.5,Logistics,2023-04-21
418,47.5,63.7,Logistics,2023-05-04
419,64.6,74.9,Data Entry,2023-03-09
420,60.6,81.4,Logistics,2023-05-26
421,63.0,83.1,Retail,2023-03-23
422,51.3,71.8,Retail,2023-04-29
423,49.6,74.6,Retail,2023-05-05
424,54.0,70.7,Logistics,2023-04-03
425,37.8,62.6,Retail,2023-04-22
426,52.2,70.4,Data Entry,2023-05-10
427,55.9,67.8,IT,2023-05-23
428,39.5,63.8,Retail,2023-05-08
429,49.3,66.2,Logistics,2023-05-26
430,55.0,79.6,Retail,2023-04-10
431,61.4,76.0,IT,2023-05-29
432,37.2,58.5,IT,2023-05-06
433,37.3,58.3,Logistics,2023-03-19
434,64.4,88.7,Retail,2023-03-09
435,32.5,54.6,Data Entry,2023-04-10
436,39.1,51.4,Data Entry,2023-04-27
437,45.4,55.7,Retail,2023-03-03
438,44.8,65.6,Logistics,2023-03-26
439,50.3,62.1,Logistics,2023-03-21
440,52.6,75.5,Logistics,2023-05-08
441,30.1,44.4,IT,2023-05-21
442,31.1,44.5,Retail,2023-03-28
443,36.6,57.3,IT,2023-05-11
444,43.1,56.9,Retail,2023-03-31
445,53.6,70.6,Data Entry,2023-05-05
446,35.5,52.6,Retail,2023-05-07
447,31.7,42.5,Logistics,2023-04-16
448,31.3,53.9,Data Entry,2023-04-01
449,52.7,63.4,IT,2023-05-01
450,37.3,51.1,Data Entry,2023-05-10
451,32.0,49.9,Retail,2023-03-09
452,49.3,74.1,IT,2023-04-13
453,60.2,78.6,IT,2023-04-15
454,55.9,66.4,Data Entry,2023-04-24
455,45.9,70.7,Data Entry,2023-05-20
456,50.5,75.4,Logistics,2023-03-16
457,64.0,77.4,IT,2023-05-23
458,63.6,80.4,Data Entry,2023-05-28
459,55.6,76.1,Retail,2023-04-17
460,33.4,52.2,Logistics,2023-03-21
461,30.9,52.2,IT,2023-04-09
462,38.2,56.4,Logistics,2023-03-26
463,37.9,54.5,IT,2023-03-10
464,33.5,50.2,Retail,2023-05-17
465,52.6,72.4,Logistics,2023-04-10
466,36.8,57.1,IT,2023-04-26
467,31.5,49.4,IT,2023-03-28
468,39.2,51.2,Data Entry,2023-03-04
469,31.3,48.5,Logistics,2023-03-02
470,35.0,52.1,Retail,2023-05-24
471,40.7,61.2,IT,2023-05-12
472,60.3,83.0,IT,2023-03-01
473,47.5,69.6,Data Entry,2023-05-02
474,38.1,58.1,IT,2023-03-17
475,39.7,55.6,Data Entry,2023-04-19
476,51.4,64.7,Data Entry,2023-04-05
477,62.5,73.7,Logistics,2023-04-03
478,36.5,55.5,Logistics,2023-03-23
479,37.6,50.9,IT,2023-04-01
480,52.8,63.8,Logistics,2023-03-05
481,64.2,83.8,IT,2023-04-24
482,53.4,70.8,Logistics,2023-03-04
483,42.6,59.4,Logistics,2023-04-10
484,63.6,83.7,Data Entry,2023-03-01
485,58.5,78.3,Data Entry,2023-03-17
486,49.4,60.8,IT,2023-05-11
487,64.4,78.7,Retail,2023-03-14
488,34.3,49.6,Data Entry,2023-03-17
489,30.2,43.3,Retail,2023-03-19
490,49.1,67.0,IT,2023-05-05
491,42.5,59.7,Data Entry,2023-05-03
492,50.7,64.9,IT,2023-03-31
493,53.9,70.5,Logistics,2023-04-27
494,54.9,70.4,IT,2023-03-05
495,42.1,59.4,Retail,2023-04-04
496,49.7,63.9,Logistics,2023-04-03
497,40.5,51.1,Retail,2023-05-16
498,46.7,63.7,Retail,2023-03-21
499,35.4,51.6,Data Entry,2023-03-08
500,41.8,63.2,IT,2023-05-11
501,63.9,76.0,IT,2023-04-08
502,51.7,72.1,Data Entry,2023-04-05
503,47.3,60.9,Data Entry,2023-03-19
504,31.2,52.0,Data Entry,2023-03-12
505,32.0,49.5,IT,2023-03-20
506,58.4,72.6,Data Entry,2023-04-30
507,44.2,56.7,Retail,2023-05-22
508,57.4,75.4,Data Entry,2023-05-05
509,43.1,58.6,IT,2023-03-15
510,34.5,51.2,IT,2023-03-22
511,42.2,64.3,Retail,2023-04-10
512,40.4,64.1,Data Entry,2023-03-06
513,55.0,69.6,Data Entry,2023-04-22
514,34.0,54.9,Logistics,2023-05-21
515,48.9,70.5,IT,2023-03-25
516,34.6,55.3,Data Entry,2023-04-25
517,49.5,66.4,Data Entry,2023-04-20
518,40.6,58.8,IT,2023-05-08
519,47.4,63.0,Logistics,2023-03-29
520,36.8,52.2,Logistics,2023-03-13
521,33.7,46.8,IT,2023-03-19
522,53.1,67.0,Logistics,2023-05-12
523,37.4,60.8,Data Entry,2023-05-15
524,59.8,76.3,Data Entry,2023-05-28
525,31.4,53.2,Logistics,2023-05-27
526,48.9,69.5,IT,2023-05-03
527,34.6,56.6,IT,2023-04-04
528,47.9,68.9,IT,2023-05-24
529,44.5,65.9,IT,2023-04-05
530,63.3,82.0,Logistics,2023-05-19
531,56.9,74.8,Retail,2023-03-29
532,61.3,78.2,Retail,2023-05-06
533,35.3,50.0,IT,2023-05-27
534,59.1,79.3,Data Entry,2023-03-30
535,64.5,84.5,IT,2023-03-21
536,57.9,82.9,Retail,2023-04-04
537,44.9,60.6,Retail,2023-05-06
538,39.6,58.2,Data Entry,2023-04-10
539,33.7,54.6,Data Entry,2023-04-03
540,37.8,48.4,IT,2023-04-01
541,48.5,65.3,Retail,2023-05-02
542,49.4,72.1,IT,2023-03-23
543,35.9,50.6,Logistics,2023-04-03
544,39.4,56.4,Retail,2023-05-21
545,60.4,84.1,Data Entry,2023-03-24
546,63.0,85.4,Retail,2023-03-22
547,44.9,57.0,Data Entry,2023-03-28
548,46.9,64.6,Logistics,2023-04-25
549,41.7,52.6,Data Entry,2023-04-13
550,57.9,73.5,Retail,2023-03-30
551,63.7,76.3,Logistics,2023-05-28
552,48.9,61.2,Logistics,2023-05-13
553,40.4,62.8,Retail,2023-04-14
554,59.0,77.7,IT,2023-05-25
555,49.8,70.5,Retail,2023-04-27
556,55.0,66.8,Data Entry,2023-03-27
557,58.3,75.0,Logistics,2023-05-15
558,45.6,67.5,IT,2023-05-09
559,43.6,55.5,IT,2023-03-09
560,55.1,69.4,Data Entry,2023-05-12
561,48.8,72.0,Logistics,2023-05-30
562,46.8,60.2,IT,2023-03-20
563,46.8,70.0,IT,2023-03-14
564,36.6,61.5,IT,2023-04-04
565,61.2,74.2,IT,2023-04-24
566,44.1,55.4,Retail,2023-04-29
567,52.3,69.3,Retail,2023-04-02
568,47.3,61.8,IT,2023-05-27
569,62.7,77.9,Logistics,2023-03-02
570,57.7,74.3,Logistics,2023-05-16
571,61.8,79.1,IT,2023-05-01
572,38.7,57.8,Logistics,2023-03-12
573,61.1,78.8,Data Entry,2023-05-18
574,48.5,65.2,Logistics,2023-04-03
575,39.9,56.6,Data Entry,2023-04-13
576,63.0,78.4,Retail,2023-04-30
577,45.6,68.2,Data Entry,2023-03-30
578,32.3,50.0,Retail,2023-03-21
579,56.1,69.2,Logistics,2023-05-08
580,44.6,56.5,Logistics,2023-05-24
581,63.9,86.0,Logistics,2023-05-16
582,39.4,53.4,Retail,2023-05-02
583,56.5,78.7,Data Entry,2023-03-23
584,50.2,62.7,Retail,2023-04-26
585,47.6,57.9,Retail,2023-03-05
586,45.6,61.3,Retail,2023-04-02
587,40.7,59.1,Data Entry,2023-05-01
588,33.3,44.1,Retail,2023-03-29
589,57.9,82.5,Retail,2023-04-21
590,64.8,76.7,Logistics,2023-04-02
591,63.9,79.0,Data Entry,2023-04-20
592,53.8,71.2,Retail,2023-05-21
593,32.4,50.5,Retail,2023-05-08
594,58.7,75.8,Data Entry,2023-04-22
595,50.7,69.6,IT,2023-04-22
596,33.7,53.3,Retail,2023-04-23
597,39.2,60.9,Logistics,2023-05-29
598,36.8,49.9,Data Entry,2023-04-04
599,31.0,42.1,Data Entry,2023-04-28
600,49.2,73.6,IT,2023-05-04
601,49.1,70.0,Logistics,2023-03-21
602,41.6,65.6,Data Entry,2023-04-28
603,46.2,70.6,Logistics,2023-03-25
604,50.0,65.9,Logistics,2023-03-05
605,39.8,61.6,Data Entry,2023-05-30
606,53.5,78.4,Retail,2023-03-31
607,55.6,74.7,IT,2023-05-19
608,30.8,53.9,Retail,2023-04-21
609,46.3,66.8,IT,2023-03-12
610,59.1,78.5,IT,2023-04-03
611,33.0,51.4,Logistics,2023-04-15
612,45.3,68.4,IT,2023-04-15
613,33.6,49.7,Logistics,2023-03-23
614,61.4,82.8,Data Entry,2023-04-05
615,43.1,65.4,Data Entry,2023-05-03
616,62.8,79.5,Data Entry,2023-05-04
617,64.0,87.0,IT,2023-05-10
618,61.5,82.9,Logistics,2023-05-15
619,55.7,73.6,IT,2023-03-05
620,58.3,78.5,Retail,2023-04-14
621,40.3,51.7,Data Entry,2023-05-27
622,58.8,72.3,Retail,2023-03-25
623,37.9,50.0,Logistics,2023-05-04
624,54.1,72.0,IT,2023-05-24
625,51.7,70.3,Data Entry,2023-03-16
626,47.5,72.1,Data Entry,2023-04-07
627,61.8,76.7,Data Entry,2023-04-23
628,54.6,72.7,Data Entry,2023-05-03
629,55.3,72.5,Logistics,2023-04-06
630,51.8,73.8,Retail,2023-05-15
631,36.8,61.3,IT,2023-04-04
632,51.2,65.5,IT,2023-03-28
633,64.3,88.4,Logistics,2023-05-07
634,50.9,69.3,Data Entry,2023-04-05
635,49.1,72.0,Retail,2023-04-29
636,39.1,58.6,Retail,2023-05-28
637,35.5,50.5,Retail,2023-04-23
638,59.5,79.6,IT,2023-03-18
639,56.3,80.2,Retail,2023-03-25
640,50.0,66.9,Logistics,2023-04-15
641,65.0,78.1,Data Entry,2023-03-30
642,59.6,71.8,Data Entry,2023-05-17
643,35.7,53.4,Retail,2023-04-02
644,49.4,62.9,IT,2023-05-11
645,39.4,51.6,Logistics,2023-03-05
646,58.6,79.4,Logistics,2023-05-29
647,49.3,63.5,Retail,2023-04-19
648,62.7,85.9,Logistics,2023-03-29
